Rank,Name,TM,PSN,Points,Games Played,PPG
503,Khari Blasingame,Multi,RB,6.2,5,1.2
503,Joshua Perkins,PHI,TE,6.2,4,1.6
505,Tyrod Taylor,LAC,QB,6,8,0.8
505,Travis Benjamin,LAC,WR,6,5,1.2
507,Trevon Wesco,NYJ,TE,5.9,15,0.4
508,Elijhaa Penny,NYG,RB,5.8,15,0.4
509,Brett Hundley,ARI,QB,5.5,2,2.8
509,Drew Sample,CIN,TE,5.5,9,0.6
509,Diontae Spencer,DEN,WR,5.5,15,0.4
512,Jordan Matthews,Multi,WR,5.3,3,1.8
513,Tommy Sweeney,BUF,TE,5.3,5,1.1
513,Colt McCoy,WAS,QB,5.3,2,2.7
513,Jason Moore,LAC,WR,5.3,9,0.6
513,Chris Lacy,DET,WR,5.3,6,0.9
513,Geremy Davis,LAC,WR,5.3,8,0.7
518,Ross Travis,Multi,TE,5.1,3,1.7
519,Devin Funchess,IND,WR,4.7,1,4.7
520,Johnny Holton,PIT,WR,4.5,15,0.3
521,Ishmael Hyman,TB,WR,4.4,2,2.2
522,Cody Core,NYG,WR,4.3,15,0.3
522,C.J. Anderson,DET,RB,4.3,2,2.2
522,Paul Perkins,Multi,RB,4.3,4,1.1
525,Andre Roberts,BUF,WR,4.2,13,0.3
525,Mike Glennon,OAK,QB,4.2,3,1.4
527,Michael Crabtree,ARI,WR,4.2,3,1.4
528,Anthony Sherman,KC,RB,4.1,15,0.3
529,Matt Barkley,BUF,QB,4.1,2,2.1
529,C.J. Board,JAC,WR,4.1,3,1.4
531,Russell Shepard,NYG,WR,4,3,1.3
531,Greg Joseph,Multi,K,4,2,2
533,Johnny Mundt,LAR,TE,3.9,13,0.3
534,Donte Moncrief,Multi,WR,3.8,8,0.5
535,Nick Bawden,DET,RB,3.7,10,0.4
535,Da'Mari Scott,NYG,WR,3.7,4,0.9
537,Pharaoh Brown,CLE,TE,3.7,9,0.4
538,Chris Moore,BAL,WR,3.6,13,0.3
538,Tanner Hudson,TB,TE,3.6,8,0.5
540,Codey McElroy,TB,TE,3.5,1,3.5
541,Marqise Lee,JAC,WR,3.4,6,0.6
542,Ryan Grant,Multi,WR,3.4,2,1.7
543,T.J. Logan,TB,RB,3.3,12,0.3
544,Stanley Morgan,CIN,WR,3.3,11,0.3
545,Fred Brown,DEN,WR,3.1,12,0.3
546,Riley Ridley,CHI,WR,3,4,0.8
546,Bobo Wilson,Multi,WR,3,6,0.5
546,Jay Ajayi,PHI,RB,3,4,0.8
546,Josh Bellamy,NYJ,WR,3,7,0.4
546,DeAndrew White,CAR,WR,3,9,0.3
546,Josh Oliver,JAC,TE,3,4,0.8
552,Keith Smith,ATL,RB,2.7,15,0.2
552,Robert Davis,Multi,WR,2.7,5,0.5
552,Zach Zenner,Multi,RB,2.7,6,0.5
552,Darius Jennings,TEN,WR,2.7,7,0.4
552,Ashton Dulin,IND,WR,2.7,12,0.2
