Rank,Name,TM,PSN,Points,Games Played,PPG
53,Antonio Gibson,WAS,RB,175.6,13,13.5
54,Daniel Jones,NYG,QB,174.3,13,13.4
55,CeeDee Lamb,DAL,WR,173.6,15,11.6
56,Kenyan Drake,LV,RB,173.1,14,12.4
57,Drew Lock,DEN,QB,172.1,12,14.3
58,Robby Anderson,CAR,WR,171.2,15,11.4
59,JuJu Smith-Schuster,PIT,WR,170.1,15,11.3
60,Terry McLaurin,WAS,WR,166.8,14,11.9
61,Diontae Johnson,PIT,WR,166.7,14,11.9
62,Cole Beasley,BUF,WR,166.5,15,11.1
63,D.J. Moore,CAR,WR,165.9,14,11.9
64,Chase Claypool,PIT,WR,165.3,15,11
65,Gardner Minshew,JAC,QB,165,9,18.3
66,Melvin Gordon,DEN,RB,163.4,14,11.7
67,Jason Sanders,MIA,K,163,15,10.9
68,Cooper Kupp,LAR,WR,162.7,15,10.9
69,Will Fuller,MIA,WR,162.4,11,14.8
70,Ryan Fitzpatrick,WAS,QB,161.2,10,16.1
71,Tee Higgins,CIN,WR,161.1,15,10.7
72,Chris Carson,SEA,RB,160,11,14.6
73,Younghoe Koo,ATL,K,159,14,11.4
74,Ronald Jones,TB,RB,158.5,13,12.2
75,Curtis Samuel,WAS,WR,158,14,11.3
76,Clyde Edwards-Helaire,KC,RB,158,13,12.2
77,Brandin Cooks,HOU,WR,157.4,14,11.2
78,Miles Sanders,PHI,RB,156.4,12,13
79,Marvin Jones,JAC,WR,155.8,15,10.4
80,Nelson Agholor,NE,WR,155.4,15,10.4
81,Brandon Aiyuk,SF,WR,154.5,12,12.9
82,Corey Davis,NYJ,WR,152.5,13,11.7
83,D'Andre Swift,DET,RB,152.3,12,12.7
84,Nyheim Hines,IND,RB,152,15,10.1
85,Tyler Boyd,CIN,WR,151.4,14,10.8
86,Mitchell Trubisky,BUF,QB,150.5,9,16.7
87,Tyler Bass,BUF,K,149,15,9.9
87,Daniel Carlson,LV,K,149,15,9.9
89,Todd Gurley,FA,RB,146.7,14,10.5
90,J.D. McKissic,WAS,RB,145.9,15,9.7
91,Pittsburgh Steelers,PIT,DST,144,15,9.6
92,David Johnson,HOU,RB,143.5,11,13.1
93,Taysom Hill,NO,QB,143.4,15,9.6
94,Rodrigo Blankenship,IND,K,142,15,9.5
95,Robert Tonyan,GB,TE,141.8,15,9.5
96,Miami Dolphins,MIA,DST,140,15,9.3
97,Dak Prescott,DAL,QB,139.1,5,27.8
98,James Conner,ARI,RB,138.4,12,11.5
99,Jarvis Landry,CLE,WR,138.1,14,9.9
100,Chase Edmonds,ARI,RB,138,15,9.2
101,T.J. Hockenson,DET,TE,137.8,15,9.2
102,Jamison Crowder,NYJ,WR,137.4,11,12.5
103,Justin Tucker,BAL,K,137,15,9.1
103,Indianapolis Colts,IND,DST,137,15,9.1
103,Greg Zuerlein,DAL,K,137,15,9.1
106,Michael Gallup,DAL,WR,136.9,15,9.1
107,Mark Andrews,BAL,TE,136.4,13,10.5
108,Marquise Brown,BAL,WR,135.4,15,9
109,Giovani Bernard,TB,RB,133.9,15,8.9
110,Sam Darnold,CAR,QB,132.1,11,12
111,J.K. Dobbins,BAL,RB,131.5,14,9.4
112,Los Angeles Rams,LAR,DST,131,15,8.7
112,Ryan Succop,TB,K,131,15,8.7
112,Harrison Butker,KC,K,131,15,8.7
115,Andy Dalton,CHI,QB,130.8,10,13.1
116,Chris Godwin,TB,WR,130.7,11,11.9
117,Tim Patrick,DEN,WR,130.1,14,9.3
118,Baltimore Ravens,BAL,DST,130,15,8.7
118,Jason Myers,SEA,K,130,15,8.7
120,Logan Thomas,WAS,TE,129.4,15,8.6
121,Cairo Santos,CHI,K,129,15,8.6
122,Nick Mullens,PHI,QB,128.2,10,12.8
123,Myles Gaskin,MIA,RB,128,9,14.2
123,Joey Slye,CAR,K,128,15,8.5
125,D.J. Chark,JAC,WR,127.1,13,9.8
126,Graham Gano,NYG,K,126,15,8.4
127,Mike Gesicki,MIA,TE,125.6,14,9
128,Brandon McManus,DEN,K,125,14,8.9
128,Wil Lutz,NO,K,125,15,8.3
130,Latavius Murray,NO,RB,124.7,15,8.3
131,Russell Gage,ATL,WR,124.4,15,8.3
132,Austin Ekeler,LAC,RB,124.2,9,13.8
133,Keelan Cole Sr.,NYJ,WR,124.1,15,8.3
134,T.Y. Hilton,IND,WR,124,14,8.9
135,Rob Gronkowski,TB,TE,122.9,15,8.2
136,Devin Singletary,BUF,RB,122.8,15,8.2
137,Christian Kirk,ARI,WR,122.4,14,8.7
138,Darrell Henderson,LAR,RB,122.3,15,8.2
139,Tua Tagovailoa,MIA,QB,122.2,9,13.6
140,Julio Jones,TEN,WR,120.6,9,13.4
141,DeVante Parker,MIA,WR,119.7,13,9.2
142,Wayne Gallman,SF,RB,119.6,14,8.5
143,Stephen Gostkowski,FA,K,119,15,7.9
143,Nick Folk,NE,K,119,15,7.9
145,Jonnu Smith,NE,TE,118.4,13,9.1
146,Dustin Hopkins,WAS,K,118,15,7.9
147,Emmanuel Sanders,BUF,WR,117.5,13,9
148,Jimmy Graham,CHI,TE,117.1,15,7.8
149,Washington Football Team,WAS,DST,117,15,7.8
150,Gus Edwards,BAL,RB,116.2,15,7.8
151,Michael Badgley,LAC,K,116,15,7.7
152,Hunter Henry,NE,TE,115.3,14,8.2
153,Mason Crosby,GB,K,115,15,7.7
153,Ka'imi Fairbairn,HOU,K,115,15,7.7
155,Eric Ebron,PIT,TE,113.8,15,7.6
156,Jeff Wilson,SF,RB,113.5,11,10.3
157,Darius Slayton,NYG,WR,112.8,15,7.5
158,Nick Foles,CHI,QB,112.1,9,12.5
159,Tampa Bay Buccaneers,TB,DST,112,15,7.5
160,Noah Fant,DEN,TE,111.5,14,8
161,Hayden Hurst,ATL,TE,110.3,15,7.4
162,Leonard Fournette,TB,RB,110.3,12,9.2
163,Matt Prater,ARI,K,110,15,7.3
164,Mike Williams,LAC,WR,109.9,14,7.9
165,Zach Pascal,IND,WR,109.8,15,7.3
166,Jamaal Williams,DET,RB,109,13,8.4
167,Jerick McKinnon,KC,RB,108.6,14,7.8
168,Jerry Jeudy,DEN,WR,107.1,15,7.1
169,Kansas City Chiefs,KC,DST,107,15,7.1
169,New Orleans Saints,NO,DST,107,15,7.1
171,Evan Engram,NYG,TE,106.8,15,7.1
172,Darnell Mooney,CHI,WR,106.8,15,7.1
173,Laviska Shenault,JAC,WR,106.5,13,8.2
174,Adrian Peterson,FA,RB,106.2,15,7.1
175,Mecole Hardman,KC,WR,106.1,15,7.1
176,Robbie Gould,SF,K,106,15,7.1
177,Greg Ward,PHI,WR,104.9,15,7
178,Marquez Valdes-Scantling,GB,WR,104.7,14,7.5
179,Dalton Schultz,DAL,TE,104.5,15,7
180,Cody Parkey,CLE,K,104,14,7.4
181,Tony Pollard,DAL,RB,101.9,15,6.8
182,Gabriel Davis,BUF,WR,101.7,15,6.8
183,Tyler Higbee,LAR,TE,100.6,14,7.2
184,David Moore,CAR,WR,100.3,15,6.7
185,Randy Bullock,DET,K,100,12,8.3
185,Chris Boswell,PIT,K,100,13,7.7
187,Sterling Shepard,NYG,WR,99.9,11,9.1
188,Hunter Renfrow,LV,WR,99.7,15,6.7
189,Arizona Cardinals,ARI,DST,98,15,6.5
189,Zane Gonzalez,DET,K,98,12,8.2
189,Carolina Panthers,CAR,DST,98,15,6.5
189,New England Patriots,NE,DST,98,15,6.5
189,Seattle Seahawks,SEA,DST,98,15,6.5
194,Jakobi Meyers,NE,WR,97.8,13,7.5
195,Buffalo Bills,BUF,DST,97,15,6.5
196,Jared Cook,LAC,TE,96.6,14,6.9
197,Rashard Higgins,CLE,WR,95.9,12,8
198,Jalen Hurts,PHI,QB,95.7,14,6.8
199,Malcolm Brown,MIA,RB,95.3,15,6.4
200,Rex Burkhead,HOU,RB,95.1,10,9.5
201,Kendrick Bourne,NE,WR,95.1,14,6.8
202,Travis Fulgham,PHI,WR,94.9,12,7.9
203,Cleveland Browns,CLE,DST,94,15,6.3
203,New York Giants,NYG,DST,94,15,6.3
205,Josh Reynolds,TEN,WR,93.4,15,6.2
205,Dallas Goedert,PHI,TE,93.4,11,8.5
207,Philadelphia Eagles,PHI,DST,93,15,6.2
208,Frank Gore,FA,RB,92.2,15,6.2
209,Zack Moss,BUF,RB,92,12,7.7
210,Raheem Mostert,SF,RB,91.7,8,11.5
211,Chicago Bears,CHI,DST,91,15,6.1
212,George Kittle,SF,TE,90.8,7,13
213,Damiere Byrd,CHI,WR,89.8,14,6.4
214,Joe Mixon,CIN,RB,89.1,6,14.9
215,Damien Harris,NE,RB,88.8,10,8.9
216,Green Bay Packers,GB,DST,88,15,5.9
217,A.J. Green,ARI,WR,87.8,15,5.9
218,Cam Akers,LAR,RB,87.7,11,8
219,Tre'Quan Smith,NO,WR,86.1,13,6.6
220,San Francisco 49ers,SF,DST,86,15,5.7
221,Scotty Miller,TB,WR,84.3,14,6
222,James Washington,PIT,WR,84.2,15,5.6
223,Jalen Guyton,LAC,WR,83.1,15,5.5
224,Dan Bailey,FA,K,83,15,5.5
225,Danny Amendola,FA,WR,82.3,13,6.3
226,Anthony Miller,HOU,WR,81.9,15,5.5
227,Christian McCaffrey,CAR,RB,81.8,3,27.3
228,Randall Cobb,GB,WR,81.1,10,8.1
229,James White,NE,RB,81,13,6.2
230,Irv Smith,MIN,TE,79.5,12,6.6
231,Austin Hooper,CLE,TE,78.8,12,6.6
232,Allen Lazard,GB,WR,78.6,9,8.7
233,Willie Snead IV,LV,WR,77.7,13,6
234,Carlos Hyde,JAC,RB,76.9,10,7.7
235,Demarcus Robinson,KC,WR,76.3,14,5.5
236,Devontae Booker,NYG,RB,75.6,15,5
237,Odell Beckham Jr.,CLE,WR,75.3,7,10.8
238,Dan Arnold,CAR,TE,75.2,15,5
239,Dwayne Haskins,PIT,QB,75.2,7,10.7
240,KJ Hamler,DEN,WR,75.1,13,5.8
241,Michael Pittman,IND,WR,74.9,12,6.2
242,Boston Scott,PHI,RB,74.2,15,5
243,Breshad Perriman,DET,WR,74.2,11,6.8
244,Larry Fitzgerald,FA,WR,73.9,13,5.7
245,Braxton Berrios,NYJ,WR,73.7,15,4.9
246,Atlanta Falcons,ATL,DST,73,15,4.9
246,Jake Elliott,PHI,K,73,15,4.9
248,Kyle Juszczyk,SF,RB,71.2,15,4.8
249,Duke Johnson,FA,RB,70.4,11,6.4
250,Dallas Cowboys,DAL,DST,70,15,4.7
251,Sammy Watkins,BAL,WR,69.9,10,7
252,Kalen Ballage,PIT,RB,69.8,10,7
253,Jalen Reagor,PHI,WR,69.7,10,7
254,Joshua Kelley,LAC,RB,69.7,13,5.4
255,Jimmy Garoppolo,SF,QB,69.4,6,11.6
256,Jakeem Grant Sr.,MIA,WR,69.3,14,5
257,Trey Burton,FA,TE,69.3,12,5.8
258,Golden Tate,FA,WR,69,12,5.8
259,Gerald Everett,SEA,TE,68.9,15,4.6
260,Benny Snell,PIT,RB,68.9,14,4.9
261,Los Angeles Chargers,LAC,DST,68,15,4.5
262,Brian Hill,TEN,RB,67.8,15,4.5
262,Henry Ruggs III,LV,WR,67.8,12,5.7
264,Alex Smith,FA,QB,67.1,7,9.6
265,Le'Veon Bell,FA,RB,66.6,11,6.1
266,Preston Williams,MIA,WR,65.8,8,8.2
267,Darren Fells,DET,TE,65.7,13,5.1
268,John Brown,LV,WR,65.1,8,8.1
269,New York Jets,NYJ,DST,65,15,4.3
269,Tyron Johnson,LAC,WR,65,10,6.5
271,Chris Conley,HOU,WR,64.9,14,4.6
272,Mo Alie-Cox,IND,TE,64.9,14,4.6
273,Deebo Samuel,SF,WR,64.2,7,9.2
274,Tennessee Titans,TEN,DST,64,15,4.3
275,Michael Thomas,NO,WR,63.9,7,9.1
276,Jordan Akins,HOU,TE,63.8,12,5.3
277,Tyler Eifert,FA,TE,63.4,14,4.5
278,Cam Sims,WAS,WR,63.4,14,4.5
279,Antonio Brown,TB,WR,63.3,7,9
280,Denver Broncos,DEN,DST,63,15,4.2
281,Phillip Lindsay,HOU,RB,62.5,11,5.7
282,Kerryon Johnson,PHI,RB,62.3,14,4.5
283,Anthony Firkser,TEN,TE,61.4,15,4.1
284,Jordan Reed,FA,TE,60.1,10,6
285,Minnesota Vikings,MIN,DST,59,15,3.9
286,Keke Coutee,HOU,WR,58.5,7,8.4
287,Richard Rodgers,PHI,TE,58.5,11,5.3
288,Joe Flacco,PHI,QB,57.7,5,11.5
289,Isaiah McKenzie,BUF,WR,57.1,14,4.1
289,Cordarrelle Patterson,ATL,WR,57.1,15,3.8
291,Jacksonville Jaguars,JAC,DST,57,15,3.8
292,Drew Sample,CIN,TE,56.4,15,3.8
292,Zach Ertz,PHI,TE,56.4,10,5.6
294,Matt Gay,LAR,K,56,6,9.3
295,Kenny Golladay,NYG,WR,55.8,5,11.2
296,Jordan Wilkins,IND,RB,55.3,14,4
297,Samaje Perine,CIN,RB,55.1,15,3.7
298,N'Keal Harry,NE,WR,54.7,12,4.6
299,Sam Ficken,TEN,K,54,9,6
300,Brandon Allen,CIN,QB,53.5,4,13.4
301,Cameron Brate,TB,TE,52.6,14,3.8
302,Alexander Mattison,MIN,RB,52.4,12,4.4
303,Jacob Hollister,BUF,TE,52.3,15,3.5
304,Peyton Barber,WAS,RB,52,14,3.7
305,Kyle Rudolph,NYG,TE,51.4,12,4.3
306,Marvin Hall,NE,WR,51.3,12,4.3
307,Salvon Ahmed,MIA,RB,51.2,5,10.2
308,Dawson Knox,BUF,TE,50.9,10,5.1
309,Sony Michel,NE,RB,50.7,7,7.2
310,Collin Johnson,JAC,WR,50.2,12,4.2
311,Harrison Bryant,CLE,TE,49.8,12,4.2
311,Donovan Peoples-Jones,CLE,WR,49.8,11,4.5
313,Jack Doyle,IND,TE,49.4,13,3.8
314,Miles Boykin,BAL,WR,49.3,13,3.8
315,Mike Glennon,NYG,QB,48.9,4,12.2
316,DeeJay Dallas,SEA,RB,48.4,10,4.8
317,DaeSean Hamilton,DEN,WR,48,12,4
318,Ty Johnson,NYJ,RB,47.5,11,4.3
319,Denzel Mims,NYJ,WR,47.2,8,5.9
320,Dion Lewis,FA,RB,47,15,3.1
321,Cincinnati Bengals,CIN,DST,47,15,3.1
322,La'Mical Perine,NYJ,RB,47,10,4.7
323,Ito Smith,ARI,RB,46.7,13,3.6
324,Will Dissly,SEA,TE,46.6,14,3.3
325,Adam Humphries,WAS,WR,46.3,7,6.6
326,Kyle Allen,WAS,QB,46.1,4,11.5
327,Mark Ingram,HOU,RB,46,10,4.6
328,Julian Edelman,FA,WR,45.7,6,7.6
329,Richie James,SF,WR,44.8,10,4.5
329,Darrel Williams,KC,RB,44.8,14,3.2
329,Quintez Cephus,DET,WR,44.8,12,3.7
332,Andy Isabella,ARI,WR,44.3,12,3.7
333,Olamide Zaccheaus,ATL,WR,43.4,10,4.3
334,Sam Sloman,PIT,K,43,7,6.1
335,Justin Jackson,LAC,RB,42.9,7,6.1
336,Chris Herndon,NYJ,TE,42.4,13,3.3
336,Cole Kmet,CHI,TE,42.4,14,3
338,Cedrick Wilson,DAL,WR,42.3,14,3
339,Durham Smythe,MIA,TE,42,14,3
340,Greg Olsen,FA,TE,41.9,11,3.8
341,Jalen Richard,LV,RB,41.6,13,3.2
342,Houston Texans,HOU,DST,41,15,2.7
343,Devin Duvernay,BAL,WR,40.9,14,2.9
343,Steven Sims,WAS,WR,40.9,11,3.7
345,David Njoku,CLE,TE,40.5,10,4.1
346,A.J. Dillon,GB,RB,39,10,3.9
347,James O'Shaughnessy,JAC,TE,38.7,14,2.8
348,C.J. Beathard,JAC,QB,38.4,5,7.7
349,Alfred Morris,NYG,RB,38,8,4.8
349,Las Vegas Raiders,LV,DST,38,15,2.5
351,Jeremy McNichols,TEN,RB,37.9,15,2.5
352,DeSean Jackson,LAR,WR,37.8,5,7.6
353,Deonte Harris,NO,WR,37.7,9,4.2
354,Matt Breida,BUF,RB,37.5,11,3.4
355,Dontrelle Inman,FA,WR,37.3,8,4.7
356,Aldrick Rosas,JAC,K,37,5,7.4
357,Ross Dwelley,SF,TE,36.9,15,2.5
358,Isaiah Ford,MIA,WR,36.4,9,4
359,Adam Shaheen,MIA,TE,36.3,14,2.6
360,Sergio Castillo,NYJ,K,36,6,6
361,Tyler Kroft,NYJ,TE,35.9,10,3.6
362,Chad Hansen,DET,WR,35.5,4,8.9
363,Freddie Swain,SEA,WR,34.4,12,2.9
364,Jake Luton,JAC,QB,34.3,3,11.4
365,Mohamed Sanu,SF,WR,32.9,8,4.1
366,Tyler Johnson,TB,WR,32.8,12,2.7
367,Isaiah Wright,WAS,WR,32.8,12,2.7
368,Chris Thompson,FA,RB,32.6,7,4.7
369,Devonta Freeman,NO,RB,32.5,5,6.5
369,Marcus Johnson,TEN,WR,32.5,9,3.6
371,Marcedes Lewis,GB,TE,32.3,12,2.7
372,O.J. Howard,TB,TE,32.1,4,8
373,Jeff Driskel,HOU,QB,32,3,10.7
374,Jesse James,CHI,TE,31.2,15,2.1
375,Mack Hollins,MIA,WR,30.8,15,2.1
376,Lynn Bowden,MIA,WR,30.6,9,3.4
377,Van Jefferson,LAR,WR,30.4,14,2.2
378,Nick Boyle,BAL,TE,30.3,9,3.4
379,Jordan Howard,PHI,RB,30.2,7,4.3
380,Ian Thomas,CAR,TE,30.1,14,2.2
381,Detroit Lions,DET,DST,30,15,2
382,Adam Trautman,NO,TE,29.6,11,2.7
383,Tyler Conklin,MIN,TE,29.4,13,2.3
384,Mike Nugent,FA,K,29,3,9.7
385,Chad Beebe,MIN,WR,28.7,13,2.2
386,Royce Freeman,DEN,RB,28.4,11,2.6
387,Foster Moreau,LV,TE,28.3,10,2.8
387,Travis Homer,SEA,RB,28.3,9,3.1
389,Josh Lambo,JAC,K,28,4,7
390,Bisi Johnson,MIN,WR,27.9,11,2.5
391,Donald Parham,LAC,TE,27.7,11,2.5
392,JaMycal Hasty,SF,RB,27.6,8,3.5
393,Marcus Mariota,LV,QB,26.8,1,26.8
394,Kenny Stills,BUF,WR,25.9,8,3.2
395,Jason Witten,FA,TE,25.4,12,2.1
396,Zay Jones,LV,WR,25.4,13,2
397,Marquez Callaway,NO,WR,25.2,10,2.5
398,Jeff Smith,NYJ,WR,25.2,9,2.8
399,Ryan Izzo,HOU,TE,24.4,10,2.4
400,Cameron Batson,TEN,WR,24,11,2.2
400,Austin Seibert,CIN,K,24,4,6
402,Mike Thomas,CIN,WR,23.8,11,2.2
403,John Hightower,PHI,WR,23.7,10,2.4
404,Brandon Powell,BUF,WR,23.6,15,1.6
404,Albert Okwuegbunam,DEN,TE,23.6,4,5.9
406,Alec Ingold,LV,RB,23.4,13,1.8
406,Jace Sternberger,GB,TE,23.4,10,2.3
408,Kalif Raymond,DET,WR,22.9,14,1.6
409,Noah Brown,DAL,WR,22.8,14,1.6
410,Nick Vannett,NO,TE,22.5,12,1.9
410,KeeSean Johnson,ARI,WR,22.5,7,3.2
412,Auden Tate,CIN,WR,22,9,2.4
412,Pharaoh Brown,HOU,TE,22,11,2
414,Equanimeous St. Brown,GB,WR,21.9,8,2.7
415,Ray-Ray McCloud,PIT,WR,21.5,15,1.4
416,Byron Pringle,KC,WR,21.3,10,2.1
417,Ryan Finley,FA,QB,21.2,5,4.2
418,Rodney Smith,CAR,RB,21.1,6,3.5
419,Ke'Shawn Vaughn,TB,RB,20.8,8,2.6
420,Josh Adams,NYJ,RB,20.7,7,3
420,LeSean McCoy,FA,RB,20.7,8,2.6
422,Tyler Ervin,FA,RB,20.6,8,2.6
422,Gunner Olszewski,NE,WR,20.6,12,1.7
424,Christian Blake,ATL,WR,20.6,14,1.5
425,Alshon Jeffery,FA,WR,20.5,7,2.9
426,Jacoby Brissett,MIA,QB,20.3,10,2
427,Maxx Williams,ARI,TE,20.2,6,3.4
428,KhaDarel Hodge,CLE,WR,20,6,3.3
429,Dez Bryant,FA,WR,19.7,4,4.9
430,D'Ernest Johnson,CLE,RB,19.5,14,1.4
431,MyCole Pruitt,SF,TE,19.4,9,2.2
432,Darrell Daniels,ARI,TE,19.2,10,1.9
433,Colt McCoy,ARI,QB,19.1,4,4.8
434,Quez Watkins,PHI,WR,19,5,3.8
435,Chris Hogan,NO,WR,18.8,5,3.8
435,Geoff Swaim,TEN,TE,18.8,8,2.4
437,C.J. Uzomah,CIN,TE,18.7,2,9.4
437,Bryan Edwards,LV,WR,18.7,9,2.1
439,Kaden Smith,NYG,TE,18.1,14,1.3
440,Anthony McFarland,PIT,RB,18,10,1.8
440,Chase McLaughlin,CLE,K,18,3,6
442,Ameer Abdullah,MIN,RB,17.8,13,1.4
443,DeMichael Harris,IND,WR,17.5,7,2.5
443,Lee Smith,ATL,TE,17.5,7,2.5
445,Laquon Treadwell,JAC,WR,17.4,3,5.8
446,Corey Clement,NYG,RB,17.2,13,1.3
447,Patrick Laird,MIA,RB,17,14,1.2
448,Blake Bell,KC,TE,16.7,13,1.3
448,Gabe Nabers,LAC,RB,16.7,13,1.3
448,Ryan Nall,CHI,RB,16.7,13,1.3
451,D'Onta Foreman,ATL,RB,16.5,5,3.3
452,Jamal Agnew,JAC,WR,16.4,6,2.7
453,C.J. Ham,MIN,RB,16.1,13,1.2
454,Malik Taylor,GB,WR,16,12,1.3
454,Jarrett Stidham,NE,QB,16,5,3.2
456,C.J. Board,NYG,WR,15.9,11,1.5
457,Troymaine Pope,TB,RB,15.8,5,3.2
458,Dare Ogunbowale,JAC,RB,15.7,12,1.3
458,T.J. Yeldon,FA,RB,15.7,3,5.2
460,Reggie Bonnafon,CAR,RB,15.7,2,7.9
461,Garrett Gilbert,DAL,QB,15.5,1,15.5
462,Blaine Gabbert,TB,QB,15.3,4,3.8
462,Brett Rypien,DEN,QB,15.3,3,5.1
464,Alex Erickson,HOU,WR,15.1,15,1
465,Darrynton Evans,TEN,RB,15.1,4,3.8
466,DeAndre Washington,FA,RB,14.6,4,3.7
467,Josh Hill,FA,TE,14.6,11,1.3
468,Tarik Cohen,CHI,RB,14.5,3,4.8
469,Chase Daniel,LAC,QB,14.2,4,3.6
470,Javon Wims,CHI,WR,14,12,1.2
471,Trent Taylor,CIN,WR,13.6,12,1.1
472,Jakob Johnson,NE,RB,13.5,12,1.1
473,Ryan Griffin,NYJ,TE,13.1,12,1.1
474,Justin Watson,TB,WR,12.9,10,1.3
475,Phillip Walker,CAR,QB,12.7,3,4.2
476,Virgil Green,FA,TE,12.5,6,2.1
476,Patrick Ricard,BAL,RB,12.5,13,1
478,Saquon Barkley,NYG,RB,12.4,2,6.2
479,Keith Smith,ATL,RB,12.1,15,0.8
480,Jaylen Samuels,PIT,RB,11.9,12,1
481,J.J. Taylor,NE,RB,11.9,5,2.4
482,Parris Campbell,IND,WR,11.7,2,5.9
482,Alex Collins,SEA,RB,11.7,2,5.9
482,Taylor Heinicke,WAS,QB,11.7,1,11.7
485,Vance McDonald,FA,TE,11.6,10,1.2
486,Malcolm Perry,MIA,WR,11.2,8,1.4
487,Austin Mack,NYG,WR,11.2,6,1.9
488,Trayveon Williams,CIN,RB,11,6,1.8
488,Mike Boone,DEN,RB,11,10,1.1
490,Tevin Coleman,NYJ,RB,10.7,7,1.5
491,Diontae Spencer,DEN,WR,10.5,10,1.1
492,C.J. Prosise,TB,RB,10.2,10,1
493,Kai Forbath,LAR,K,10,2,5
494,Lil'Jordan Humphrey,NO,WR,9.9,2,5
495,Artavis Pierce,CHI,RB,9.5,3,3.2
495,Troy Fumagalli,NE,TE,9.5,6,1.6
497,Jaydon Mickens,TB,WR,9.3,9,1
498,Trace McSorley,BAL,QB,9.3,2,4.7
499,Tyrod Taylor,HOU,QB,9,2,4.5
499,Matthew Wright,DET,K,9,2,4.5
501,Joe Reed,LAC,WR,8.9,10,0.9
502,Devine Ozigbo,JAC,RB,8.8,6,1.5
502,K.J. Hill,LAC,WR,8.8,13,0.7
504,Jake Kumerow,BUF,WR,8.7,2,4.4
505,Reggie Gilliam,BUF,RB,8.6,9,1
506,Ja'Marcus Bradley,CLE,WR,8.5,2,4.3
507,Justice Hill,BAL,RB,8.4,10,0.8
507,Pharoh Cooper,JAC,WR,8.4,14,0.6
509,Damion Ratley,DET,WR,8.3,5,1.7
510,Chris Manhertz,JAC,TE,8.2,12,0.7
511,Courtland Sutton,DEN,WR,8.1,1,8.1
512,Luke Stocker,TEN,TE,8,13,0.6
512,Demetrius Harris,ARI,TE,8,11,0.7
514,Ashton Dulin,IND,WR,7.9,11,0.7
514,Stephen Anderson,LAC,TE,7.9,11,0.7
516,J.J. Arcega-Whiteside,PHI,WR,7.5,6,1.3
517,Johnny Mundt,LAR,TE,7.3,10,0.7
517,Nick Keizer,KC,TE,7.3,13,0.6
519,Anthony Sherman,FA,RB,7.2,7,1
519,Buddy Howell,HOU,RB,7.2,10,0.7
519,Colin Thompson,CAR,TE,7.2,10,0.7
522,Marlon Mack,IND,RB,7.1,1,7.1
523,Chad Henne,KC,QB,7,2,3.5
