Rank,Name,TM,PSN,Points,Games Played,PPG
1,Kyler Murray,ARI,QB,386.9,15,25.8
2,Josh Allen,BUF,QB,385.4,15,25.7
3,Patrick Mahomes,KC,QB,380.3,15,25.4
4,Aaron Rodgers,GB,QB,361.6,15,24.1
5,Russell Wilson,SEA,QB,354.5,15,23.6
6,Deshaun Watson,HOU,QB,349.6,15,23.3
7,Alvin Kamara,NO,RB,336.3,15,22.4
8,Ryan Tannehill,TEN,QB,322.4,15,21.5
9,Tom Brady,TB,QB,318.7,15,21.3
10,Lamar Jackson,BAL,QB,316.5,14,22.6
11,Dalvin Cook,MIN,RB,315.8,14,22.6
12,Justin Herbert,LAC,QB,309.8,14,22.1
13,Derrick Henry,TEN,RB,288.6,15,19.2
14,Davante Adams,GB,WR,287.3,13,22.1
15,Tyreek Hill,KC,WR,285.4,15,19
16,Kirk Cousins,MIN,QB,284.9,15,19
17,Ben Roethlisberger,PIT,QB,277.2,15,18.5
18,Matt Ryan,ATL,QB,270.6,15,18
19,Travis Kelce,KC,TE,260.3,15,17.4
20,Derek Carr,LV,QB,258.1,15,17.2
21,Stefon Diggs,BUF,WR,254,15,16.9
22,Jared Goff,DET,QB,253,15,16.9
23,Matthew Stafford,LAR,QB,246.9,15,16.5
24,Teddy Bridgewater,DEN,QB,246.4,14,17.6
25,Baker Mayfield,CLE,QB,240.1,15,16
26,Philip Rivers,FA,QB,239.6,15,16
27,Cam Newton,NE,QB,232.3,14,16.6
28,Calvin Ridley,ATL,WR,229.9,14,16.4
29,DK Metcalf,SEA,WR,226.2,15,15.1
30,James Robinson,JAC,RB,225.9,14,16.1
31,DeAndre Hopkins,ARI,WR,224.8,15,15
32,Aaron Jones,GB,RB,218.9,13,16.8
33,David Montgomery,CHI,RB,214.1,14,15.3
34,Carson Wentz,IND,QB,213.4,12,17.8
35,Justin Jefferson,MIN,WR,212.4,15,14.2
36,Adam Thielen,MIN,WR,209.3,14,15
37,Mike Evans,TB,WR,207.5,15,13.8
38,Allen Robinson,CHI,WR,207.2,15,13.8
39,Darren Waller,LV,TE,202.9,15,13.5
40,Jonathan Taylor,IND,RB,196.9,14,14.1
41,Drew Brees,FA,QB,195.4,11,17.8
42,Keenan Allen,LAC,WR,195.1,14,13.9
43,Kareem Hunt,CLE,RB,194.9,15,13
44,Robert Woods,LAR,WR,194.5,15,13
45,Josh Jacobs,LV,RB,193.9,14,13.9
46,Tyler Lockett,SEA,WR,188.4,15,12.6
47,A.J. Brown,TEN,WR,186.4,13,14.3
48,Ezekiel Elliott,DAL,RB,184.1,14,13.2
49,Amari Cooper,DAL,WR,183.7,15,12.3
50,Nick Chubb,CLE,RB,182.9,11,16.6
51,Joe Burrow,CIN,QB,178.6,10,17.9
52,Mike Davis,ATL,RB,177,15,11.8
